Condition,timefit,Time,Gate,TOF,Extinction,Green,logGreen
CM25,24,T24,R5,2412,2628,105,4.65396035
CM25,24,T24,R4,2604,3164,1312,7.17930797
CM25,24,T24,R4,2497,2419,3335,8.112227958
CM25,24,T24,R4,2633,2406,4752,8.466320861
CM25,24,T24,R5,2326,2150,294,5.683579767
CM25,24,T24,R5,2424,3244,203,5.313205979
CM25,24,T24,R4,2527,2668,4022,8.29953457
CM25,24,T24,R5,1538,2005,401,5.993961427
CM25,24,T24,R4,2497,2556,3468,8.151333338
CM25,24,T24,R5,1771,2770,201,5.303304908
CM25,24,T24,R4,2613,2651,3716,8.2204031
CM25,24,T24,R4,1921,1997,3798,8.242229891
CM25,24,T24,R3,2486,2540,30.2,3.407841924
CM25,24,T24,R4,2540,2958,1899,7.549082711
CM25,24,T24,R4,1718,1981,2639,7.878155337
CM25,24,T24,R3,2683,2580,47.9,3.869115504
CM25,24,T24,R4,2056,2463,3437,8.142354277
CM25,24,T24,R4,2349,2642,4037,8.303257121
CM25,24,T24,R4,2863,3643,2488,7.819234454
CM25,24,T24,R4,2230,2643,4155,8.332067707
CM25,24,T24,R3,2045,1946,45.7,3.822098298
CM25,24,T24,R5,1961,3087,354,5.869296913
CM25,24,T24,R5,1526,2176,323,5.777652323
CM25,24,T24,R4,1791,2609,1320,7.185387016
CM25,24,T24,R2,2751,2856,730,6.593044534
CM25,24,T24,R4,1717,2057,1666,7.418180823
CM25,24,T24,R4,2521,2601,4113,8.321907968
CM25,24,T24,R3,2089,1952,44.2,3.788724789
CM25,24,T24,R2,2219,2027,1131,7.030857476
CM25,24,T24,R5,2373,2556,155,5.043425117
CM25,24,T24,R5,1801,2630,125,4.828313737
CM25,24,T24,R4,1922,1572,1838,7.516433303
CM25,24,T24,R4,1777,2094,1606,7.381501895
CM25,24,T24,R5,2626,3225,72.2,4.279440046
CM25,24,T24,R4,2825,3536,3090,8.03592637
CM25,24,T24,R4,2682,2568,1578,7.363913501
CM25,24,T24,R4,2507,2943,3977,8.288283045
CM25,24,T24,R5,2909,2663,353,5.866468057
CM25,24,T24,R4,2220,2785,1945,7.573017256
CM25,24,T24,R4,1997,2816,3244,8.084562415
CM25,24,T24,R3,2559,2010,42.1,3.740047741
CM25,24,T24,R5,2246,3079,90.2,4.502029427
CM25,24,T24,R5,2590,2929,122,4.804021045
CM25,24,T24,R5,1744,1702,334,5.811140993
CM25,24,T24,R4,1518,2294,2650,7.882314919
CM25,24,T24,R4,2367,2355,3829,8.250358951
CM25,24,T24,R4,2405,2613,3821,8.248267447
CM25,24,T24,R5,2219,2377,266,5.583496309
CM25,24,T24,R2,2253,1779,651,6.478509642
CM25,24,T24,R5,2359,2419,84.4,4.435567402
CM25,24,T24,R4,2503,2914,3953,8.282230063
CM25,24,T24,R5,2016,2416,48.1,3.873282177
CM25,24,T24,R2,2607,2482,1005,6.91274282
CM25,24,T24,R5,2118,2090,51.6,3.943521672
CM25,24,T24,R4,2649,2519,4167,8.334951631
CM25,24,T24,R3,2303,1745,39.9,3.686376324
CM25,24,T24,R4,2470,2689,3625,8.195609567
CM25,24,T24,R5,2072,2736,64.2,4.162003211
CM25,24,T24,R2,2115,2278,1071,6.97634807
CM25,24,T24,R4,3085,2254,1657,7.412764017
CM25,24,T24,R2,2886,3330,842,6.735780014
CM25,24,T24,R4,2512,2440,1837,7.515889085
CM25,24,T24,R4,2834,1966,4331,8.373553741
CM25,24,T24,R4,2325,2652,3348,8.116118432
CM25,24,T24,R4,2070,1842,1944,7.572502985
CM25,24,T24,R2,2034,2418,1086,6.9902565
CM25,24,T24,R4,2497,2400,1625,7.393263095
CM25,24,T24,R5,2466,2734,267,5.587248658
